Site and link	Questions	Answers	Category	Comments
	Can I submit digital versions of my documents for the application?	"Please upload all the documents in good quality. We can only evaluate what we can read! Copies or digitally created versions are accepted. Original documents can be presented in person upon enrolment if required."	UTN study programme	
	What should I do if my documents are not available in English or German?	"Documents issued in another language must be translated by an accredited sworn translator into German or English. For admission, merge the original and the translation into one PDF file and upload the merged PDF file to the online application."	UTN study programme	
	Does the application to uni-assist e.V. incur any costs?	"There are processing costs for each submission. You must pay these processing costs to uni-assist e.V. within the application phase. If this is not done, the application cannot be completed. You will find details regarding payment and costs at uni-assist e.V."	UTN study programme	
	How can I apply to UTN via uni-assist e.V.?	You can find all relevant information on the ‘Step-by-step guide to Your Application to uni-assist e.V.’ page	UTN study programme	
	How do I register with uni-assist e.V. and activate my account?	"To create an account with uni-assist e.V., you must register with a valid email address. The account must be activated within 24 hours via the link sent by email."	UTN study programme	
	What personal data and contact information do I need to enter after registration?	"Enter your personal data and contact information exactly as they appear on your identification document."	UTN study programme	
	What should I do on hochschulstart.de if I’m applying to UTN?	"Please make sure that you use the same data in your hochschulstart.de account as in your application at UTN."	UTN study programme	
	How do I enter my Education History in the uni-assist application?	"Enter your education history in full and in chronological order. Make sure that the information corresponds to your records and certificates."	UTN study programme	
	How do I Select University and Study Program in uni-assist?	"Select the University of Technology Nuremberg. You will see the corresponding degree program and can view further details and select it. When selecting the semester, please note: some programs have open admission (no admission restrictions, NC-free)."	UTN study programme	
	What are Selection List and Mandatory Questions in the uni-assist application?	"Once the study program is added to your selection list, some mandatory questions must be answered—this will be displayed directly. These compulsory questions are about further details of your educational background to assist in a more accurate verification of eligibility."	UTN study programme	
	How do I Upload Documents for my uni-assist application?	"At the last part of the application you now need to upload the following documents in German or English—if your documents are in another language, you must provide a translation. Necessary Documents for your uni-assist e.V. application: Certificate of the graduated university degree, transcript of records, diploma supplement / curriculum concept / module overview, proof of language proficiency, APS certificate (if required). Merge the original and the translation into one PDF file and upload."	UTN study programme	
	How do I handle the Payment of the Processing Fee for my uni-assist application?	"After you have selected your study program, you must pay the processing fee. Payment options: Credit card, instant bank transfer. If this is not done, the application cannot be completed."	UTN study programme	
	How do I complete the Submission of the Application to uni-assist?	"Once you have paid and uploaded all required documents, you can click ‘Submit.’ The next step for an admission to study at UTN is done!"	UTN study programme	
	What happens after I have successfully submitted my application?	"Our student services team will now conduct the formal review of your application. If all requirements are met, your application will be forwarded to the selection committee."	UTN study programme	
	Who reviews my application initially?	"Our student services team will now conduct the formal review of your application."	UTN study programme	
	Who is in the selection committee that evaluates my application?	"The selection committee consists of two professors from the respective department Computer Science & Artificial Intelligence or Liberal Arts & Social Sciences and one academic staff member from the UTN School of StaRs."	UTN study programme	
	What happens if my application is incomplete?	"Please note that only complete applications can be assessed. You can complete your application until the end of the application deadline."	UTN study programme	
	What does the selection committee evaluate during the Preselection?	"The selection committee evaluates your professional qualifications, your final grade, and your explanatory letter. The professional qualifications are determined in our aptitude regulations and vary from program to program."	UTN study programme	
	How is my explanatory letter assessed?	 "Your explanatory letter will be assessed based on your English language proficiency and your engagement with our teaching and learning concept. For example, you can provide information about program-specific work and training internships, study abroad experiences, or projects you have worked on in or outside of your studies."	UTN study programme	
	What determines if I move on to the Selection Interview after the Preselection?	"After the preselection decides on your evaluation (with 2 points), it will be determined whether you will proceed to the selection interview or not."	UTN study programme	
	How will I be notified if I am invited to the Selection Interview?	"In case you are invited to the selection interview, you will receive an email at least one week before the scheduled date. Upon receiving the invitation, you will need to confirm the appointment."	UTN study programme	
	What if I don’t confirm the Selection Interview invitation in time?	"If we do not receive your confirmation, we cannot schedule your interview."	UTN study programme	
	 How long does the Selection Interview typically last, and where does it take place?	"The interview will be conducted digitally via video call, usually on star.tu.de, and will range around 10-15 minutes."	UTN study programme	
	What language will the Selection Interview be conducted in?	"The interview will be conducted digitally and conducted online in English."	UTN study programme	
	What topics might be discussed during the Selection Interview?	"The selection committee may ask questions such as: 1) Explanation of why UTN’s teaching and learning concept is beneficial for your competency acquisition, 2) The scope and alignment of your research interests and career goals, 3) Possibly something about your explanatory letter or your experience."	UTN study programme	
	What happens at the end of the Selection Interview?	"At the end of the interview, you will receive the evaluation ‘suitable’ (you will be admitted to the program) or ‘not suitable’ (you will not be admitted to the program)."	UTN study programme	
	I have been admitted to UTN—what should I do next?	"After successful admission, you can download your admission letter at any time via UTNexus. You will find all the details for starting at UTN, as well as information about our Welcome Week for new students on UTNexus as well."	UTN study programme	
	How do I secure my study place at UTN once admitted?	"Please accept your study place via UTNexus in a timely manner to be able to start the enrollment process on time."	UTN study programme	
	What happens if I don’t complete the enrollment process before the end of the enrollment period?	"If you do not complete the enrollment process before the end of the enrollment period, you will lose your study place."	UTN study programme	
	Where can I find more information about enrollment?	"You can find all further information on our website regarding enrollment." 	UTN study programme	
Study -> AI & Robotics (M.Sc) https://www.utn.de/en/study/ai-robotics-en/ 				
	Why should i study Robotics and Artificial Intelligence?	Artificial intelligence is a rapidly growing field that is changing the way we live and work. As a result, there is a growing demand for professionals with experience in robotics and artificial intelligence in various industries.	UTN study programme	
	Why is there a growing demand for professionals in robotics and artificial intelligence?	Artificial intelligence is a rapidly growing field that is changing the way we live and work. As a result, there is a growing demand for professionals with experience in robotics and artificial intelligence in various industries.	UTN study programme	
	Is there a growing demand for professionals in robotics and Artificial intelligence	Artificial intelligence is a rapidly growing field that is changing the way we live and work. As a result, there is a growing demand for professionals with experience in robotics and artificial intelligence in various industries.	UTN study programme	
	What does the Master degree program in Artificial Intelligence and Robotics offer students?	The Master degree program in Artificial Intelligence and Robotics provides students with the opportunity to develop advanced knowledge in these exciting fields. By combining theoretical and practical courses with our new teaching design, students will gain an in-depth understanding of the concepts, algorithms, and applications of robotics and artificial intelligence. They also learn to design, implement and evaluate complex robotic systems and artificial intelligence solutions."	UTN study programme	
	Which industries can graduates of the AI & Robotics (M.Sc.) program work in?	"Graduates of the program are equipped to pursue careers in a variety of industries, including manufacturing, healthcare, transportation, and entertainment. They are also ready to research and work on new developments in robotics and AI."	UTN study programme	
	How does the program help students gain in-depth understanding of robotics and AI?	"By combining theoretical and practical courses with our new teaching design, students will gain an in-depth understanding of the concepts, algorithms, and applications of robotics and artificial intelligence."	UTN study programme	
	Where can I find the admission requirements for the AI & Robotics (M.Sc.) program?	"Not in the mood for a long search? Jump straight to the admission requirements by clicking the link on "admission requirements."	UTN study programme	
	How many ECTS are there in total for all courses?	"4 semesters (full-time studies, approx. 40 hours per week, with 120 ECTS)"	UTN study programme	
	How many semesters of required course work are there	"4 semesters (full-time studies, approx. 40 hours per week, with 120 ECTS)"	UTN study programme	
	What is the duration of the Artificial Intelligence & Robotics course?	"4 semesters (full-time studies, approx. 40 hours per week, with 120 ECTS)"	UTN study programme	
	What is the workload of the Artificial Intelligence & Robotics course?	"4 semesters (full-time studies, approx. 40 hours per week, with 120 ECTS)"	UTN study programme	
	In which language is this program taught?	Courses are taught in English.	UTN study programme	
	When is the application period for students from third countries?	"The application period for third-country students begins on March 1, 2025, and ends on May 31, 2025."	UTN study programme	
	When is the application period for students from EU/EEA/DE?	"The application period for students from the EU, EEA, or Germany begins on March 1, 2025, and ends on June 30, 2025.	UTN study programme	
	When is the enrollment period for this program?	"Enrollment for this program starts on April 1, 2025, and continues until September 30, 2025."	UTN study programme	
	What are the semester period dates?	"The official semester period runs from October 1, 2025, until March 31, 2026."	UTN study programme	
	When does the pre-semester period take place	"The pre-semester period is expected to run from October 13, 2025, until February 7, 2026."	UTN study programme	
	When is the Welcome Week for new students scheduled?	"Welcome Week for new students is scheduled to take place from October 6 until October 10, 2025."	UTN study programme	
	How is the curriculum of the AI & Robotics (M.Sc.) program structured?	"The curriculum of the master program Artificial Intelligence and Robotics is a modularised study program. It is organized across four semesters, each comprising specific modules: 1st Semester: 4 Mandatory Modules, 2nd Semester: 2 Mandatory Modules + 1 Key Competencies Module, 3rd Semester: 2 Mandatory Modules + 1 Interdisciplinary Module, and 4th Semester: 1 Master Thesis."	UTN study programme	
	What kind of topics do students explore in this program?	"Students will learn about problem solving, decision-making, and knowledge representation in AI as well as the design and implementation of algorithms for autonomous robot navigation. They will study neural networks, training algorithms, applications in computer vision, and natural language processing."	UTN study programme	
	What is the highlight of the program’s practical learning experience?	"The core highlight is the ‘Learning in Transformation Project,’ an interdisciplinary research project that focuses on practical learning experiences. The project aims to provide students with a scientific-based approach to solving real-world problems."	UTN study programme	
	How does the program address both theoretical and practical aspects of AI & Robotics?	"Students will learn both theoretical and practical foundations, combining advanced modules in AI, robotics, and interdisciplinary fields. They also gain hands-on experience in designing and evaluating algorithms and systems."	UTN study programme	
	What is the time commitment for this full-time master’s program?	"Please note that the Master’s in AI & Robotics is a full-time program. You should plan about 40 hours of work per week."	UTN study programme	
	Why is the curriculum described as modularised?	"The curriculum is described as modularised because it is organized into separate modules that allow students to systematically acquire specialized knowledge and skills each semester, culminating in the Master Thesis."	UTN study programme	
	Can you describe the Learning in Transformation Project in more detail?	The Learning in Transformation Project is an interdisciplinary research project that focuses on practical learning experiences. It uses a scientific-based approach to solving real-world problems, allowing students to apply and integrate the theoretical knowledge they have gained in AI and robotics modules."	UTN study programme	
	 Which fields do the interdisciplinary modules connect with?	"Interdisciplinary modules may draw from various fields such as computer science, psychology, philosophy, or related areas, enabling students to explore AI and robotics from multiple perspectives."	UTN study programme	
	What Bachelor’s degree background is required to apply for the AI & Robotics (M.Sc.) program?	"Bachelor of Science (B.Sc. or equivalent) in Computer Science or related fields such as Electrical Engineering, Mechanical Engineering, Mathematics, or Physics."	UTN study programme	
	How much Computer Science knowledge is expected from applicants?	"Excellent knowledge of Computer Science: Programming, Algorithms and Data Structures as well as the following minimum areas: Theoretical Computer Science, Computer Architecture, Computer Networks, or Software Engineering (minimum of 24 ECTS credits required)."	UTN study programme	
	Which mathematical skills do applicants need to demonstrate?	"Sufficient knowledge in analysis and linear algebra (at least 18 ECTS or equivalent). This includes: basic data structures (arrays, lists, stacks, queues, trees, graphs), sorting algorithms, searching algorithms, complexity theory (Big-O notation), formal language theory, and number representation."	UTN study programme	
	What English language proficiency is required for the AI & Robotics (M.Sc.) program?	"Proof of English language proficiency: TOEFL iBT (minimum 577 points), IELTS (minimum level 6.5), Cambridge English Test (C1 Advanced), or German Abitur with proof of English. A successful degree program conducted in English is also acceptable as proof of sufficient English language proficiency."	UTN study programme	
	Do I need German language skills to be admitted to the AI & Robotics (M.Sc.) program?	"No, the program is entirely conducted in English and no German language skills are required	UTN study programme	
	What is one of the first documents I need to provide for my application?	Complete, chronological, tabular CV in English."	UTN study programme	
	What proof of degree must I submit if I am in my final year of a Bachelor’s program?	"Bachelor’s certificate or proof of being in your last year of studies at the start of the semester at the latest. If you have not yet graduated, please submit a provisional transcript or equivalent document."	UTN study programme	
	What is the required language for documents like the explanation letter?	"Explanation letter in English (max. one page), addressed to the selection committee. Describe your specific motivation to study this program and your academic/professional background."	UTN study programme	
	If my Bachelor’s documents are in a language other than English or German, how should I submit them?	"If a language test is already included on your certificate, please upload it. Otherwise, have a sworn translator translate the document into English or German. Merge the original and the translation into one PDF file and upload it."	UTN study programme	
	What is an APS certificate, and who needs to provide it?	"An APS certificate is necessary if you obtained your university degree in India, China, or Vietnam. The Academic Evaluation Centre (APS) checks the authenticity of foreign certificates. You must upload this certificate with your application if required."	UTN study programme	
	Are there any other forms that I need to submit with my application?	"Relevant qualifications form (if applicable). Please see the program page or contact admissions for more details on additional forms that may be required."	UTN study programme	
	Where can I reach out for questions regarding the AI & Robotics study program?	If you have any queries regarding the M.Sc. Artificial Intelligence and Robotics degree program, please feel free to contact the student advisory service. We are more than happy to assist you! study-ai-robotics@utn.de 	UTN study programme	
Study Human And AI				
	What is the Master’s program in Human and Artificial Intelligence at UTN?	The Master’s program in Human and Artificial Intelligence (M.Sc. / M.A.) at the University of Technology Nuremberg (UTN) is an interdisciplinary English-language program combining computer science, psychology, and philosophy. It provides students with the knowledge and skills to understand human cognition and artificial intelligence while addressing ethical, technical, and psychological perspectives on AI development and human interaction.	UTN study programme	
	What are the key benefits of studying Human and Artificial Intelligence at UTN?	Studying Human and Artificial Intelligence at UTN offers several advantages: close supervision ratio with personalized guidance in small seminar groups, innovative learning design with interactive coursework, flexible course structure allowing students to choose between specialized or interdisciplinary study tracks, industry connections for research and career development in AI, and a high-quality location in Nuremberg with a thriving tech and business environment.	UTN study programme	
	What are the admission requirements for Human and Artificial Intelligence program?	To be eligible for the Master’s program, applicants must fulfill the following criteria: A Bachelor’s degree (B.Sc., B.A., or equivalent) in at least one of the fields of computer science, psychology, or philosophy, or a related or interdisciplinary subject, with at least 60 ECTS credits (or an equivalent full academic year). They must also demonstrate English language proficiency, which can be proven through TOEFL (min. 90 points), IELTS (min. overall score 6.5), Cambridge C1 Advanced, or proof of previous education in English. Lastly, applicants must pass the aptitude assessment process, which includes an explanatory letter and possibly an interview.	UTN study programme	
	What documents are required for the application for Human and Artificial Intelligence program at UTN?	Applicants must submit a chronological CV in English, Bachelor’s degree certificate (if unavailable, it can be submitted up to 5 weeks after the semester starts), transcript of records and diploma supplement, an explanatory letter (max. 600 words) detailing motivation and experience, English proficiency certificate, and German A2 certificate (which can be submitted later up to the 4th semester). Additionally, optional supporting documents such as internships or work experience, and an APS certificate (for applicants from India, China, or Vietnam) are required.	UTN study programme	
	When are the application deadlines for Human and Artificial Intelligence program at UTN?	The application periods for non-EU students are from March 1 to May 31, 2025, while EU/EEA/DE students can apply from March 1 to June 30, 2025. Enrollment is open from April 1 to September 30, 2025.	UTN study programme	
	Where can I apply for the Human and Artificial Intelligence program at UTN?	All information for the application process can be found on the UTN portal: https://www.utn.de/en/study/application-to-study/	UTN study programme	
	How long is the Human and Artificial Intelligence Master’s program, and what is the structure?	The program lasts 4 semesters (2 years) and consists of: 1st Semester - foundational courses in AI, psychology, and philosophy, 2nd Semester - specialization and first elective module, 3rd Semester - interdisciplinary research combining AI with ethics, psychology, and philosophy, and 4th Semester - Master’s thesis.	UTN study programme	
	What are the core subjects covered in the Human and Artificial Intelligence program at UTN?	The core subjects covered in the program include AI and psychology, which explores human cognition, AI interaction, and trust in AI, philosophy, which deals with ethical considerations in AI development, and computer science, which covers machine learning, neural networks, and data processing.	UTN study programme	
	Can I customize my study focus?	Students can customize their study focus by selecting elective modules, engaging in interdisciplinary projects, and choosing specialization options in philosophy, psychology, or AI research.	UTN study programme	
	What career opportunities are available after completing Human and Artificial Intelligence program at UTN?	Graduates of this program can pursue careers in AI Research and Development (Machine learning, AI ethics, data science), Human-Computer Interaction (User experience, AI trust research), Technology Policy and Governance (AI regulation, ethics, and policy consulting), and Academic Research (Doctoral studies in AI, philosophy, or psychology).	UTN study programme	
	Does UTN offer career support?	UTN offers career support through networking opportunities, internship placements, and industry collaborations, ensuring students have access to professional growth and development in AI-related fields.	UTN study programme	
	What is student life like in Nuremberg?	Nuremberg is a dynamic city with a mix of historical culture and modern technology industries. It offers affordable living, a vibrant student community, and strong connections to tech and AI research hubs, making it an ideal location for students.	UTN study programme	
	Is there financial aid or scholarships available?	UTN does not specify particular scholarships for this program, but students can explore funding opportunities through Research in Bavaria or DAAD scholarships.	UTN study programme	
	Where can I get more details about the Human and Artificial Intelligence program at UTN?	For further details, visit the official program page: https://www.utn.de/en/study/human-and-artificial-intelligence/	UTN study programme	
	How can I contact the student advisory service?	For direct inquiries, students can contact the student advisory service via email at study@utn.de for assistance with admissions, coursework, and career prospects.	UTN study programme	
				
Learning Design				
				
				
	What is the Learning Design approach at the University of Technology Nuremberg (UTN)?	The Learning Design approach at the University of Technology Nuremberg (UTN) is built on Active Learning, an innovative, research-based framework that promotes student engagement, reflection, and competency development. Instead of traditional lecture-based learning, UTN emphasizes interactive coursework, student-centered projects, and frequent feedback to ensure a deep understanding of concepts. The university’s learning design encourages students to actively participate in their education through project-based assignments, group discussions, and digital learning tools.	UTN Information	
	What are the key principles of UTN’s Learning Design?	At UTN, the key principles of Learning Design include competency-based learning, active participation, reflective thinking, interdisciplinary collaboration, and personalized feedback. Every course is structured to develop essential skills for academic and professional success. The curriculum is collaboratively designed with faculty members, integrating modern digital learning techniques to keep students engaged. Continuous feedback ensures that students can track their progress and refine their understanding over time.	UTN Information	
	How does Active Learning at UTN enhance student engagement?	The Active Learning model enhances student engagement by making learning an interactive and reflective process. Instead of passively receiving information, students are involved in group discussions, problem-solving exercises, and real-world applications. For example, students may listen to online lectures, take quizzes, and participate in collaborative projects. This blended approach ensures practical skill development, preparing students for dynamic work environments.	UTN Information	
	What types of assessments are used at UTN to evaluate learning outcomes?	Assessment at UTN is designed to be comprehensive and diverse, allowing students to demonstrate their learning through various formats. Assessments include formative assessments (ongoing feedback-driven tasks), summative assessments (final evaluations like exams), and project-based assessments. Some common assessment methods include written essays, oral presentations, group discussions, practical assignments, and in-class computerized tests. This variety ensures that students develop skills beyond rote memorization and are evaluated on their critical thinking, communication, and application of knowledge.	UTN Information	
	How do learning-oriented assignments contribute to student development?	Learning-oriented assignments are an essential component of UTN’s curriculum. These assignments allow students to apply their theoretical knowledge in practical settings, reflect on their progress, and receive constructive feedback. Such assignments contribute to skill development in research, collaboration, communication, and critical analysis. The accumulation of these assignments across the semester ensures a steady learning curve rather than a high-pressure final exam system.	UTN Information	
	What are some examples of learning-oriented assignments at UTN?	Some examples of learning-oriented assignments at UTN include online group discussions on selected topics to promote critical thinking and exchange of ideas. Students may also engage in reflective essays, where they analyze previous discussions or research concepts. Practical individual or group projects allow them to apply theoretical knowledge in real-world contexts, while final presentations help summarize project findings and key takeaways. Additionally, expert discussions and oral exams are conducted to evaluate students' conceptual understanding and analytical skills.	UTN Information	
	What role does GenAI (Generative AI) play in UTN’s assessment approach?	UTN integrates Generative AI (GenAI) into its learning framework to enhance students’ digital literacy and technological adaptability. Since AI tools are becoming standard in research and workplace settings, UTN ensures that students understand how to use them responsibly and ethically. Assignments and assessments are designed in a way that encourages students to leverage AI tools while still demonstrating authentic and verifiable learning outcomes.	UTN Information	
	How is the module final assignment structured, and what weight does it carry in the grading process?	Each module final assignment at UTN consists of multiple smaller assignments throughout the semester and a final evaluation that accounts for 40% to 60% of the total grade. Depending on the course, the final assignment may be an oral exam, a research paper, or a significant project submission. This structure helps in gradual skill-building rather than a single high-stakes examination.	UTN Information	
	What is the significance of competency-based learning outcomes in UTN’s curriculum?	The significance of competency-based learning outcomes lies in ensuring that students acquire relevant and practical skills rather than just theoretical knowledge. Every module is designed to align with clearly defined competencies, which include technical expertise, problem-solving ability, teamwork, and effective communication. These learning outcomes provide a structured way to measure students' growth and preparedness for real-world challenges.	UTN Information	
	How does UTN integrate digital tools into its teaching methods?	UTN integrates digital tools extensively into its teaching methods, including online learning platforms, AI-powered assessments, and interactive simulations. Students engage with digital resources such as video lectures, virtual labs, and collaborative workspaces that enhance their understanding. The university's emphasis on digitalization prepares students for careers in tech-driven industries.	UTN Information	
